,Symbol,Valoren,market_price,model_price,DurationToMaturity,YieldToMaturity,riskfree,Hazzard,Rating
0,AAPL4122386,24354752,107.3935,109.0,16.4277,0.039507,0.024796193898,0.014710806102,6
1,AAPL4001806,21311603,99.807,99.807,1.4564,0.011365,0.0170263080717,-0.00566130807165,6
2,AAPL4001811,21311621,100.375,100.0693,1.9846,0.008518,0.0174518359139,-0.00893383591395,6
3,AAPL4001809,21311623,100.0795,99.3658,6.0192,0.025225,0.0216405138269,0.00358448617311,6
4,AAPL4001810,21311624,97.889,97.134,16.6491,0.040675,0.0248306253467,0.0158443746533,6
5,AAPL4122395,24354743,100.099,99.942,0.4833,0.011776,0.0124731683341,-0.000697168334126,6
6,AAPL4122387,24354748,101.6095,101.778,2.4214,0.013707,0.0180899755196,-0.00438297551959,6
7,AAPL4122392,24354749,102.975,102.975,4.2318,0.021602,0.0206807218146,0.000921278185423,6
8,AAPL4122390,24354751,105.72,105.803,6.6724,0.026075,0.0219436187927,0.00413138120728,6
9,AAPL4122398,24354753,100.0503,100.143,0.7583,0.0,0.0145877634803,-0.0145877634803,6
10,AAPL4122391,24354755,100.2525,100.2304,2.445,0.010883,0.0181337622824,-0.00725076228238,6
11,AAPL4208638,27018516,100.3685,99.818,3.1454,0.016143,0.0194637042555,-0.00332070425547,6
12,AAPL4208641,27018526,98.348,97.75,7.4291,0.028275,0.0222748401307,0.00600015986932,6
13,AAPL4208639,27018527,91.0695,90.238,17.5017,0.040727,0.0249533499441,0.0157736500559,6
14,AAPL4242662,28185169,100.128,100.128,0.7583,0.0,0.0145877634803,-0.0145877634803,6
15,AAPL4242663,28185178,98.95,99.554,3.9069,0.01044,0.0204147183362,-0.0099747183362,6
16,AAPL4242664,28185181,100.038,100.0009,0.5028,0.008961,0.0126456072211,-0.00368460722114,6
17,AAPL4242668,28185185,101.48,101.769,3.8391,0.015452,0.0203505364193,-0.00489853641926,6
18,AAPL4242669,28185186,102.557,102.276,5.5769,0.023044,0.0214260248935,0.00161797510652,6
19,AAPL4242665,28185187,104.402,104.402,7.9114,0.026641,0.0224750578083,0.00416594219171,6
20,AAPL4242667,28185189,104.6515,103.348,16.8998,0.042184,0.0248683183549,0.0173156816451,6
21,AAPL4336432,31618387,100.315,100.294,1.2598,0.010687,0.0166961745629,-0.00600917456287,6
22,AAPL4336438,31618394,100.911,100.976,2.2252,0.012656,0.0177557347165,-0.00509973471648,6
23,AAPL4336439,31618395,101.6,101.1347,2.9367,0.009324,0.019096554772,-0.00977255477197,6
24,AAPL4336435,31618396,101.3977,101.2524,4.0759,0.01952,0.0205610331233,-0.00104103312334,6
25,AAPL4336441,31618398,102.446,102.446,8.0374,0.029679,0.0225259909692,0.00715300903075,6
26,AAPL4336437,31618399,102.88755,103.9983,4.8014,0.008418,0.0210307337218,-0.0126127337218,6
27,AAPL4336436,31618400,109.5189,109.048,13.2525,0.03868,0.0241736302582,0.0145063697418,6
28,AAPL4336434,31618401,102.7235,102.58,5.7572,0.024183,0.02151437106,0.00266862894003,6
29,AAPL4336433,31618402,109.893,109.9,16.7274,0.041093,0.0248425444377,0.0162504555623,6
30,AAPL4208636,27018533,99.95,99.65,3.6873,0.009793,0.0201941418355,-0.0104011418355,6
31,AAPL4208635,27018538,100.055,100.055,4.9469,0.0215,0.0211073373435,0.000392662656481,6
32,AAPL4377623,32859441,100.543,0.0,0.0,0.0,0.00398268821855,-0.00398268821855,6
33,AAPL4389214,33461293,99.901,99.916,2.9519,0.009377,0.019125031224,-0.00974803122397,6
34,AAPL4389210,33461303,99.173,99.078,2.6703,0.01453,0.0185732709624,-0.00404327096241,6
35,AAPL4389212,33461308,98.189,98.094,4.545,0.019847,0.0208863282878,-0.00103932828778,6
