Valoren,DurationToMaturity
21057371,3.8838
21076499,10.6928
21136201,6.6191
21325044,12.2656
21383666,0
21497158,9.3136
21542706,11.1716
21688851,11.6386
21982599,12.1134
21982601,6.8051
21989919,3.7715
22057564,7.5515
22057578,11.1486
22307500,8.8354
22340876,8.8386
22447834,9.0145
3314750,12.8857
3356330,0.7472
3830892,0.3444
22743077,8.9222
22825799,11.244
22922217,10.0213
23122151,10.1226
23149572,0
23321011,2.1055
23500214,12.411
12742765,8.318
13933186,6.0415
12143727,4.5505
2060244,0
11263894,1.9349
12696334,9.4898
13980962,2.7914
13980957,8.8476
13980956,5.3476
13597233,8.053
12791691,6.3919
12742763,11.0018
12742760,5.5672
12299774,6.156
12143739,8.6875
11263901,5.3077
20035252,0.0444
20364873,12.229
20534542,15.3734
20591876,12.1975
20899033,5.9735
20947128,6.5913
21007339,9.4129
21256909,8.6819
21851399,9.9932
22152192,10.1424
22234667,5.3117
22234672,9.461
22394303,9.4935
22686624,7.7596
22686631,10.8447
22743045,12.1626
22898928,11.1328
23321010,2.1331
23576887,12.3363
23909244,6.5278
23909246,16.2799
23969843,10.3964
24010493,12.4739
24076588,9.9101
24138052,10.5034
24202500,11.1349
24357757,12.9493
24420513,12.9931
24451960,0.75
24451968,0.5111
24451972,7.0825
24472462,12.961
24633116,11.5608
24678651,13.0278
24739835,12.092
24806304,11.6492
25008679,13.2824
25069936,13.2524
25546512,4.6266
25858316,3.7697
26297061,3.8977
26358195,0
26605251,3.0358
26605253,3.0788
26605255,0.4944
26969851,4.0734
27055870,6.0583
27055875,8.5059
27389987,5.0362
30688901,24.2512
2790074,0.0528
2795925,2.0937
24513758,13.0773
24561193,13.7772
25428045,4.5543
25501834,4.544
26605411,4.8478
18667525,11.4771
18667574,5.087
18749287,11.5791
18749708,5.0951
18778832,11.6831
18824143,5.1066
18824145,11.5264
10321872,1.5823
10344664,1.5821
10389093,0.6806
10409768,3.3844
10433413,0.7611
10456046,3.4012
10478865,0.7611
10479104,4.2168
10497732,0.8444
10497857,3.4807
10519440,0.8444
10519557,3.4925
10543191,3.487
10596869,3.5821
10644218,3.5905
10680559,3.5861
10695211,2.3827
10695219,4.8715
10715401,4.1018
10734923,4.9
10759298,4.1075
10775907,4.4915
10816432,1.9695
10834973,1.9715
10885917,0.1778
10890395,4.5509
10912591,4.5513
10967109,4.6255
10997978,4.6246
10996008,1.2134
11019063,4.6198
11048120,1.2134
11048131,5.3516
11072803,4.6935
11093172,5.4576
11117768,5.4616
11144901,2.2207
11166962,5.5741
11190063,2.3063
11201184,4.7999
11243407,4.8353
11284006,0.5111
11284007,5.3075
11339739,6.0405
11363504,4.8786
11394853,5.6254
11418050,4.8998
11438382,5.6376
11465772,5.7261
11492799,0.6806
11492802,6.4691
11554356,1.6071
11575533,1.691
11629603,2.6082
11651931,5.137
11679853,5.2315
11710701,3.1398
11710723,5.2274
11741921,5.2281
11756767,6.7414
11787497,0.8444
11787734,7.4101
11820764,6.8519
11847135,7.5682
11851996,0.9278
11914579,4.5074
11948739,7.9523
11977285,1.4736
11977413,7.9423
12008038,7.9541
12039076,6.4962
12403932,8.2228
12438186,4.7187
12484210,3.8307
12547968,6.8942
12572419,10.9218
12660320,9.5192
12791696,12.0179
12867664,12.7024
13015141,10.5196
13055689,12.2848
13091236,12.0228
13169605,10.6555
13169680,12.6954
13253368,11.9158
13284891,11.9495
13334671,11.8505
13373136,11.9443
13457530,7.9941
13702805,8.1217
13756195,8.1071
1444096,0
1673681,0
1673748,0
1856830,0
2043877,0
2046349,0
2044993,0
2056870,0
2056911,0
11145138,5.4615
11316062,1.9333
11316064,5.2704
12180463,7.4207
12299769,9.3653
12471562,9.3999
13209446,12.6415
13648152,8.0816
13817118,8.1647
13875320,8.7612
13933190,8.8104
2058116,0
2058132,0
2058185,0
2058193,0
2110293,0
2187676,0.2611
2230341,0
2239512,0
2759631,0.1333
2973933,0.3583
3807482,0.2611
4517841,0
18778792,5.1164
18879512,4.267
18879528,6.6909
18879694,11.6537
18924998,5.2061
18925006,8.9409
18925010,11.6273
19119409,1.7238
19130488,7.7108
19130579,12.0973
19183784,7.6831
19183790,12.1136
19238213,7.7315
19238224,12.0118
19289265,6.9392
19289272,11.4554
19329024,6.1148
19329045,11.3895
19433489,5.3352
19506316,7.0147
19506329,12.1305
19608410,6.2189
19609425,10.3691
19670086,11.0663
19670101,7.0586
19722209,16.1769
19722577,5.4802
19736395,0
19895093,12.0356
19895303,8.3604
19998660,12.0902
19998680,9.0836
20043841,0.9993
20044723,12.7082
20075986,2.223
20129223,12.2308
20129573,8.6809
20197834,2.9632
20250009,12.1549
20308022,12.0998
19381736,7.7624
19381743,12.2106
20045137,9.7832
20185569,12.1555
14247808,6.5917
14247760,4.1996
14093628,4.4704
12260485,3.7793
11756761,3.5615
10886989,2.8928
200460,11.7461
4954263,13.1166
12433230,9.4152
12600856,3.1367
1393054,10.4814
10435985,2.5296
2110303,0
10759313,0.0111
13138241,4.9642
13138242,10.9941
13334575,6.5203
11072447,2.2172
11093157,1.2984
11117736,2.2207
11190056,0.4278
11190125,5.5626
11200738,0.4278
11363327,1.5209
11651929,3.0559
11741821,3.1374
11820597,1.864
11914564,0.9278
11948629,5.0037
11947197,1.4736
12008034,5.0165
12103731,5.3437
12403814,4.7066
12600858,9.5398
12791693,8.3807
12829715,8.3768
12829720,9.5662
12829721,12.7654
13055552,6.8645
13253349,6.4524
13373135,3.415
13504874,8.0704
1391368,7.4679
14031255,2.7913
14031589,7.5525
14031694,5.341
14217053,7.5855
14217087,2.4148
14297829,4.2002
14297833,6.5842
14339513,7.3074
14339536,4.192
1673715,0
2045213,0
2047603,0
2047722,0
2058899,0
2110230,0
2110299,0
10136809,1.3675
10170811,1.9054
10193803,1.9109
10210491,1.9108
10234518,1.4963
10248191,1.4989
10299320,1.5818
10543055,0.8444
10572541,3.5005
10623247,3.5935
10715396,1.4651
10801624,1.9742
10912578,0.1778
10967062,1.2136
11019051,0.2611
11166958,1.3818
11339683,2.8394
11914972,7.5179
12071911,1.9929
13091233,6.4553
13284202,6.5531
13333676,3.4049
14493285,6.1769
14493303,11.5081
14547448,6.9067
14547523,12.0726
14594832,6.1896
14594983,11.1321
14676107,8.4332
10156248,1.9051
14676549,10.7971
14678239,0.1611
14849017,5.5661
14849178,11.6401
14893352,0.3444
14903341,3.0977
14903352,8.4973
14903359,11.2887
14964115,3.982
14964122,8.5082
14964188,11.4538
18006846,3.9782
18006893,8.4908
18006932,11.2804
18059279,3.1833
18059281,8.557
18059282,11.4125
18306582,4.9816
18306925,7.9868
18307031,11.6166
18382966,4.9796
18383610,11.585
18477190,0.4611
1964987,7.1641
2250674,0
2929048,0.3583
685456,0
18575530,4.693
18576772,11.9378
18621159,1.7201
18621349,11.9333
18621368,5.5092
3087971,3.2135
2108291,0
2814536,1.9644
2108288,0
2369421,0.3306
3182741,1.5055
3009510,0.3444
2976642,1.2956
2848266,0
2664000,17.9265
3574585,0
3869161,3.0889
3112395,1.9253
3099646,0.5111
2791449,1.217
2380082,0
20384170,5.5957
20423418,7.9945
20423628,12.146
3543691,15.7476
2551219,8.9865
20657482,12.1484
20657486,8.0263
20678880,12.1138
1183259,0
2108277,0
2106683,0
2319719,0.5139
2387497,8.1537
2399820,0
2654538,1.9843
2922075,0.2611
2924320,0.5
2993322,1.2954
3360222,0
3424651,0.8444
3598084,1.0186
3679325,13.2203
3770207,2.1314
3924919,2.2978
3968873,1.419
4223622,1.9243
685459,0
20711151,6.5345
20711159,10.0374
20883651,12.1618
21034583,1.3658
21034586,1.3662
21057366,10.1521
21057371,3.8838
21076499,10.6928
21136201,6.6191
21325044,12.2656
21383666,0
21497158,9.3136
21542706,11.1716
