Valoren,Morningstar Credit Rating,Rating
3968873,NA,0
4223622,NA,0
685459,NA,0
20711151,NA,0
20711159,NA,0
20883651,NA,0
21034583,NA,0
21034586,NA,0
21057366,NA,0
21057371,NA,0
21076499,NA,0
21136201,NA,0
21325044,NA,0
21383666,NA,0
21497158,NA,0
21542706,NA,0
21688851,NA,0
21982599,NA,0
21982601,NA,0
21989919,NA,0
22057564,NA,0
22057578,NA,0
22307500,NA,0
22340876,NA,0
22447834,NA,0
3314750,NA,0
3356330,NA,0
3830892,NA,0
22743077,NA,0
22825799,NA,0
22922217,NA,0
23122151,NA,0
23149572,NA,0
23321011,NA,0
23500214,NA,0
12742765,NA,0
13933186,NA,0
12143727,NA,0
2060244,NA,0
11263894,NA,0
12696334,NA,0
13980962,NA,0
13980957,NA,0
13980956,NA,0
13597233,NA,0
12791691,NA,0
12742763,NA,0
12742760,NA,0
12299774,NA,0
12143739,NA,0
11263901,NA,0
20035252,NA,0
20364873,NA,0
20534542,NA,0
20591876,NA,0
20899033,NA,0
20947128,NA,0
21007339,NA,0
21256909,NA,0
21851399,NA,0
22152192,NA,0
22234667,NA,0
22234672,NA,0
22394303,NA,0
22686624,NA,0
22686631,NA,0
22743045,NA,0
22898928,NA,0
23321010,NA,0
23576887,NA,0
23909244,NA,0
23909246,NA,0
23969843,NA,0
24010493,NA,0
24076588,NA,0
24138052,NA,0
24202500,NA,0
24357757,NA,0
24420513,NA,0
24451960,NA,0
24451968,NA,0
24451972,NA,0
24472462,NA,0
24633116,NA,0
24678651,NA,0
24739835,NA,0
24806304,NA,0
25008679,NA,0
25069936,NA,0
25546512,NA,0
25858316,NA,0
26297061,NA,0
26358195,NA,0
26605251,NA,0
26605253,NA,0
26605255,NA,0
26969851,NA,0
27055870,NA,0
27055875,NA,0
27389987,NA,0
30688901,NA,0
2790074,NA,0
2795925,NA,0
24513758,NA,0
24561193,NA,0
25428045,NA,0
25501834,NA,0
26605411,NA,0
18667525,NA,0
18667574,NA,0
18749287,NA,0
18749708,NA,0
18778832,NA,0
18824143,NA,0
18824145,NA,0
10321872,NA,0
10344664,NA,0
10389093,NA,0
10409768,NA,0
10433413,NA,0
10456046,NA,0
10478865,NA,0
10479104,NA,0
10497732,NA,0
10497857,NA,0
10519440,NA,0
10519557,NA,0
10543191,NA,0
10596869,NA,0
10644218,NA,0
10680559,NA,0
10695211,NA,0
10695219,NA,0
10715401,NA,0
10734923,NA,0
10759298,NA,0
10775907,NA,0
10816432,NA,0
10834973,NA,0
10885917,NA,0
10890395,NA,0
10912591,NA,0
10967109,NA,0
10997978,NA,0
10996008,NA,0
11019063,NA,0
11048120,NA,0
11048131,NA,0
11072803,NA,0
11093172,NA,0
11117768,NA,0
11144901,NA,0
11166962,NA,0
11190063,NA,0
11201184,NA,0
11243407,NA,0
11284006,NA,0
11284007,NA,0
11339739,NA,0
11363504,NA,0
11394853,NA,0
11418050,NA,0
11438382,NA,0
11465772,NA,0
11492799,NA,0
11492802,NA,0
11554356,NA,0
11575533,NA,0
11629603,NA,0
11651931,NA,0
11679853,NA,0
11710701,NA,0
11710723,NA,0
11741921,NA,0
11756767,NA,0
11787497,NA,0
11787734,NA,0
11820764,NA,0
11847135,NA,0
11851996,NA,0
11914579,NA,0
11948739,NA,0
11977285,NA,0
11977413,NA,0
12008038,NA,0
12039076,NA,0
12403932,NA,0
12438186,NA,0
12484210,NA,0
12547968,NA,0
12572419,NA,0
12660320,NA,0
12791696,NA,0
12867664,NA,0
13015141,NA,0
13055689,NA,0
13091236,NA,0
13169605,NA,0
13169680,NA,0
13253368,NA,0
13284891,NA,0
13334671,NA,0
13373136,NA,0
13457530,NA,0
13702805,NA,0
13756195,NA,0
1444096,NA,0
1673681,NA,0
1673748,NA,0
1856830,NA,0
2043877,NA,0
2046349,NA,0
2044993,NA,0
2056870,NA,0
2056911,NA,0
11145138,NA,0
11316062,NA,0
11316064,NA,0
12180463,NA,0
12299769,NA,0
12471562,NA,0
13209446,NA,0
13648152,NA,0
13817118,NA,0
13875320,NA,0
13933190,NA,0
2058116,NA,0
2058132,NA,0
2058185,NA,0
2058193,NA,0
2110293,NA,0
2187676,NA,0
2230341,NA,0
2239512,NA,0
2759631,NA,0
2973933,NA,0
3807482,NA,0
4517841,NA,0
18778792,NA,0
18879512,NA,0
18879528,NA,0
18879694,NA,0
18924998,NA,0
18925006,NA,0
18925010,NA,0
19119409,NA,0
19130488,NA,0
19130579,NA,0
19183784,NA,0
19183790,NA,0
19238213,NA,0
19238224,NA,0
19289265,NA,0
19289272,NA,0
19329024,NA,0
19329045,NA,0
19433489,NA,0
19506316,NA,0
19506329,NA,0
19608410,NA,0
19609425,NA,0
19670086,NA,0
19670101,NA,0
19722209,NA,0
19722577,NA,0
19736395,NA,0
19895093,NA,0
19895303,NA,0
19998660,NA,0
19998680,NA,0
20043841,NA,0
20044723,NA,0
20075986,NA,0
20129223,NA,0
20129573,NA,0
20197834,NA,0
20250009,NA,0
20308022,NA,0
19381736,NA,0
19381743,NA,0
20045137,NA,0
20185569,NA,0
14247808,NA,0
14247760,NA,0
14093628,NA,0
12260485,NA,0
11756761,NA,0
10886989,NA,0
200460,NA,0
4954263,NA,0
12433230,NA,0
12600856,NA,0
1393054,NA,0
10435985,NA,0
2110303,NA,0
10759313,NA,0
13138241,NA,0
13138242,NA,0
13334575,NA,0
11072447,NA,0
11093157,NA,0
11117736,NA,0
11190056,NA,0
11190125,NA,0
11200738,NA,0
11363327,NA,0
11651929,NA,0
11741821,NA,0
11820597,NA,0
11914564,NA,0
11948629,NA,0
11947197,NA,0
12008034,NA,0
12103731,NA,0
12403814,NA,0
12600858,NA,0
12791693,NA,0
12829715,NA,0
12829720,NA,0
12829721,NA,0
13055552,NA,0
13253349,NA,0
13373135,NA,0
13504874,NA,0
1391368,NA,0
14031255,NA,0
