,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,0.4138,0.3054,0.9,1.0,USD,Valid,1/11/2016,0.0,63.2622,,63.1046,62.6908,62.1686,,62.7992,Success,0.6601,0.4863,,1.0,8157737.0,US0258161092
212,SplitAndProportionalCashDividend,0.3448,-0.3941,0.9,1.0,USD,Valid,1/12/2016,0.0,63.942,,63.4494,63.1046,62.6612,,63.8435,Success,0.5464,-0.6173,,1.0,7559962.0,US0258161092
211,SplitAndProportionalCashDividend,-1.5271,-0.7882,0.9,1.0,USD,Valid,1/13/2016,0.0,63.4199,,61.9223,63.4494,61.3115,,62.7105,Success,-2.4068,-1.2569,,1.0,11291194.0,US0258161092
210,SplitAndProportionalCashDividend,0.4335,0.4335,0.9,1.0,USD,Valid,1/14/2016,0.0,62.809,,62.3558,61.9223,61.4494,,61.9223,Success,0.7001,0.7001,,1.0,6663953.0,US0258161092
209,SplitAndProportionalCashDividend,-0.3744,0.867,0.9,1.0,USD,Valid,1/15/2016,0.0,62.1193,,61.9814,62.3558,60.5922,,61.1144,Success,-0.6004,1.4187,,1.0,8643751.0,US0258161092
208,SplitAndProportionalCashDividend,-0.266,-0.7586,0.9,1.0,USD,Valid,1/19/2016,0.0,62.8484,,61.7154,61.9814,61.3213,,62.474,Success,-0.4292,-1.2143,,1.0,7652078.0,US0258161092
207,SplitAndProportionalCashDividend,0.3842,1.468,0.9,1.0,USD,Valid,1/20/2016,0.0,62.6021,,62.0996,61.7154,60.3853,,60.6316,Success,0.6225,2.4212,,1.0,9043776.0,US0258161092
206,SplitAndProportionalCashDividend,-0.3842,-0.3547,0.9,1.0,USD,Valid,1/21/2016,0.0,63.3706,,61.7154,62.0996,61.5873,,62.0701,Success,-0.6187,-0.5715,,1.0,8992300.0,US0258161092
205,SplitAndProportionalCashDividend,-7.4681,-3.2808,0.9,1.0,USD,Valid,1/22/2016,0.0,58.0208,,54.2473,61.7154,53.3409,,57.5281,Success,-12.1009,-5.703,,1.0,43783380.0,US0258161092
204,SplitAndProportionalCashDividend,-0.0394,0.5518,0.9,1.0,USD,Valid,1/25/2016,0.0,54.9468,,54.2079,54.2473,53.3409,,53.6561,Success,-0.0726,1.0284,,1.0,18498255.0,US0258161092
203,SplitAndProportionalCashDividend,0.0689,-0.1084,0.9,1.0,USD,Valid,1/26/2016,0.0,54.9172,,54.2768,54.2079,54.1488,,54.3852,Success,0.1271,-0.1993,,1.0,12844794.0,US0258161092
202,SplitAndProportionalCashDividend,-0.5615,-0.8374,0.9,1.0,USD,Valid,1/27/2016,0.0,54.9961,,53.7153,54.2768,53.6167,,54.5527,Success,-1.0345,-1.535,,1.0,11044111.0,US0258161092
201,SplitAndProportionalCashDividend,-1.6158,-1.7734,0.9,1.0,USD,Valid,1/28/2016,0.0,53.9517,,52.0995,53.7153,51.3802,,53.8729,Success,-3.0081,-3.2918,,1.0,18015021.0,US0258161092
200,SplitAndProportionalCashDividend,0.6108,0.3153,0.9,1.0,USD,Valid,1/29/2016,0.0,52.9123,,52.7103,52.0995,52.267,,52.395,Success,1.1724,0.6018,,1.0,13981128.0,US0258161092
218,SplitAndProportionalCashDividend,-1.9226,-0.4904,1.19,1.0,USD,Valid,1/4/2016,0.0,66.8809,,66.3022,68.2248,65.4978,,66.7926,Success,-2.818,-0.7342,,1.0,9248281.0,US0258161092
217,SplitAndProportionalCashDividend,-1.0202,-0.8043,1.19,1.0,USD,Valid,1/5/2016,0.0,66.4199,,65.282,66.3022,64.4187,,66.0863,Success,-1.5387,-1.217,,1.0,10809158.0,US0258161092
216,SplitAndProportionalCashDividend,-1.8129,-0.8079,0.9,1.0,USD,Valid,1/6/2016,0.0,64.5824,,63.4691,65.282,63.2918,,64.277,Success,-2.777,-1.2569,,1.0,9752153.0,US0258161092
215,SplitAndProportionalCashDividend,-0.5714,0.5222,0.9,1.0,USD,Valid,1/7/2016,0.0,63.3032,,62.8977,63.4691,62.1528,,62.3755,Success,-0.9003,0.8372,,1.0,11323947.0,US0258161092
214,SplitAndProportionalCashDividend,-0.2069,-0.5419,0.9,1.0,USD,Valid,1/8/2016,0.0,63.4578,,62.6908,62.8977,62.6317,,63.2327,Success,-0.3289,-0.857,,1.0,10003645.0,US0258161092
24,SplitAndProportionalCashDividend,0.14,-0.25,0.0,1.0,USD,Valid,10/10/2016,0.0,62.49,,61.9,61.76,61.8675,,62.15,Success,0.2267,-0.4023,,1.0,2522929.0,US0258161092
23,SplitAndProportionalCashDividend,-1.04,-0.67,0.0,1.0,USD,Valid,10/11/2016,0.0,61.7,,60.86,61.9,60.55,,61.53,Success,-1.6801,-1.0889,,1.0,3926531.0,US0258161092
22,SplitAndProportionalCashDividend,-0.17,-0.13,0.0,1.0,USD,Valid,10/12/2016,0.0,61.0499,,60.69,60.86,60.58,,60.82,Success,-0.2793,-0.2137,,1.0,3293769.0,US0258161092
21,SplitAndProportionalCashDividend,-0.28,0.18,0.0,1.0,USD,Valid,10/13/2016,0.0,60.56,,60.41,60.69,59.5,,60.23,Success,-0.4614,0.2989,,1.0,4220483.0,US0258161092
