,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,0.098,-0.5782,1.96,1.0,USD,Valid,1/11/2016,0.0,89.5803,,88.6982,88.6002,88.1297,,89.2764,Success,0.1106,-0.6477,,1.0,7185566.0,US9130171096
212,SplitAndProportionalCashDividend,0.0,-0.4802,1.96,1.0,USD,Valid,1/12/2016,0.0,89.3352,,88.6982,88.6982,87.8847,,89.1784,Success,0.0,-0.5385,,1.0,7697258.0,US9130171096
211,SplitAndProportionalCashDividend,-1.6368,-1.8034,1.96,1.0,USD,Valid,1/13/2016,0.0,88.8648,,87.0614,88.6982,86.6498,,88.8648,Success,-1.8454,-2.0294,,1.0,8588783.0,US9130171096
210,SplitAndProportionalCashDividend,0.1764,-0.0687,1.96,1.0,USD,Valid,1/14/2016,0.0,87.7965,,87.2378,87.0614,86.1107,,87.3065,Success,0.2026,-0.0787,,1.0,7395903.0,US9130171096
209,SplitAndProportionalCashDividend,-3.3127,-1.333,1.96,1.0,USD,Valid,1/15/2016,0.0,86.3068,,83.9251,87.2378,83.7683,,85.2581,Success,-3.7973,-1.5635,,1.0,10485634.0,US9130171096
208,SplitAndProportionalCashDividend,-0.3822,-1.0879,1.96,1.0,USD,Valid,1/19/2016,0.0,84.6308,,83.5429,83.9251,82.7882,,84.6308,Success,-0.4554,-1.2855,,1.0,7469993.0,US9130171096
207,SplitAndProportionalCashDividend,-0.4018,0.3823,1.96,1.0,USD,Valid,1/20/2016,0.0,83.8761,,83.1411,83.5429,81.7297,,82.7588,Success,-0.481,0.4619,,1.0,9601204.0,US9130171096
206,SplitAndProportionalCashDividend,0.7252,0.7252,1.96,1.0,USD,Valid,1/21/2016,0.0,85.062,,83.8663,83.1411,82.8568,,83.1411,Success,0.8723,0.8723,,1.0,5742904.0,US9130171096
205,SplitAndProportionalCashDividend,0.7645,-0.5881,1.96,1.0,USD,Valid,1/22/2016,0.0,85.6403,,84.6308,83.8663,84.1702,,85.2189,Success,0.9116,-0.6901,,1.0,4647420.0,US9130171096
204,SplitAndProportionalCashDividend,-1.4211,-1.0585,1.96,1.0,USD,Valid,1/25/2016,0.0,84.4348,,83.2097,84.6308,83.0039,,84.2682,Success,-1.6792,-1.2561,,1.0,10444034.0,US9130171096
203,SplitAndProportionalCashDividend,0.735,0.3528,1.96,1.0,USD,Valid,1/26/2016,0.0,84.7484,,83.9447,83.2097,83.5135,,83.5919,Success,0.8833,0.4221,,1.0,7393768.0,US9130171096
202,SplitAndProportionalCashDividend,0.1569,0.1079,1.96,1.0,USD,Valid,1/27/2016,0.0,85.8265,,84.1016,83.9447,83.0627,,83.9937,Success,0.1869,0.1285,,1.0,8083861.0,US9130171096
201,SplitAndProportionalCashDividend,0.6272,0.147,1.96,1.0,USD,Valid,1/28/2016,0.0,85.4639,,84.7288,84.1016,84.2094,,84.5818,Success,0.7458,0.1738,,1.0,5757240.0,US9130171096
200,SplitAndProportionalCashDividend,1.2153,0.8036,1.96,1.0,USD,Valid,1/29/2016,0.0,85.9441,,85.9441,84.7288,85.0327,,85.1405,Success,1.4343,0.9439,,1.0,7887546.0,US9130171096
218,SplitAndProportionalCashDividend,-0.4901,1.0977,1.96,1.0,USD,Valid,1/4/2016,0.0,93.7358,,93.6672,94.1573,92.0893,,92.5695,Success,-0.5205,1.1858,,1.0,5382208.0,US9130171096
217,SplitAndProportionalCashDividend,0.1471,0.5685,1.96,1.0,USD,Valid,1/5/2016,0.0,94.0887,,93.8143,93.6672,92.9126,,93.2458,Success,0.157,0.6097,,1.0,4253225.0,US9130171096
216,SplitAndProportionalCashDividend,-2.5483,-0.7645,1.96,1.0,USD,Valid,1/6/2016,0.0,92.7558,,91.266,93.8143,90.6976,,92.0305,Success,-2.7163,-0.8307,,1.0,8300557.0,US9130171096
215,SplitAndProportionalCashDividend,-1.1957,0.4214,1.96,1.0,USD,Valid,1/7/2016,0.0,91.4914,,90.0703,91.266,89.6097,,89.6489,Success,-1.3101,0.4701,,1.0,6984819.0,US9130171096
214,SplitAndProportionalCashDividend,-1.4701,-1.1467,1.96,1.0,USD,Valid,1/8/2016,0.0,90.0507,,88.6002,90.0703,88.4238,,89.7469,Success,-1.6322,-1.2777,,1.0,7501309.0,US9130171096
24,SplitAndProportionalCashDividend,-0.6,-0.18,0.0,1.0,USD,Valid,10/10/2016,0.0,101.03,,99.98,100.58,99.64,,100.16,Success,-0.5965,-0.1797,,1.0,4517801.0,US9130171096
23,SplitAndProportionalCashDividend,-1.21,-0.78,0.0,1.0,USD,Valid,10/11/2016,0.0,99.87,,98.77,99.98,98.46,,99.55,Success,-1.2102,-0.7835,,1.0,4314836.0,US9130171096
22,SplitAndProportionalCashDividend,0.16,0.12,0.0,1.0,USD,Valid,10/12/2016,0.0,99.25,,98.93,98.77,98.535,,98.81,Success,0.162,0.1214,,1.0,3818167.0,US9130171096
21,SplitAndProportionalCashDividend,0.92,1.45,0.0,1.0,USD,Valid,10/13/2016,0.0,100.085,,99.85,98.93,98.15,,98.4,Success,0.93,1.4736,,1.0,3768190.0,US9130171096
