,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,1.768,0.721,1.95,1.0,USD,Valid,1/11/2016,0.0,164.4203,,163.6992,161.9312,161.3385,,162.9782,Success,1.0918,0.4424,,1.0,4386469.0,US38141G1040
212,SplitAndProportionalCashDividend,-0.0197,-1.1655,1.95,1.0,USD,Valid,1/12/2016,0.0,166.1192,,163.6795,163.6992,161.299,,164.845,Success,-0.012,-0.707,,1.0,4441260.0,US38141G1040
211,SplitAndProportionalCashDividend,-6.6377,-7.3785,1.95,1.0,USD,Valid,1/13/2016,0.0,165.0525,,157.0418,163.6795,155.9849,,164.4203,Success,-4.0553,-4.4876,,1.0,5252478.0,US38141G1040
210,SplitAndProportionalCashDividend,2.3706,1.0766,1.95,1.0,USD,Valid,1/14/2016,0.0,160.5187,,159.4124,157.0418,154.8392,,158.3358,Success,1.5095,0.6799,,1.0,4272470.0,US38141G1040
209,SplitAndProportionalCashDividend,-5.7092,-1.0767,1.95,1.0,USD,Valid,1/15/2016,0.0,156.0541,,153.7032,159.4124,151.9253,,154.7799,Success,-3.5814,-0.6956,,1.0,6237182.0,US38141G1040
208,SplitAndProportionalCashDividend,1.1952,-0.731,1.95,1.0,USD,Valid,1/19/2016,0.0,156.8146,,154.8984,153.7032,153.382,,155.6294,Success,0.7776,-0.4697,,1.0,5860559.0,US38141G1040
207,SplitAndProportionalCashDividend,-3.0324,-0.3457,1.95,1.0,USD,Valid,1/20/2016,0.0,156.4294,,151.866,154.8984,149.7918,,152.2117,Success,-1.9577,-0.2271,,1.0,9369148.0,US38141G1040
206,SplitAndProportionalCashDividend,-2.0742,-2.2915,1.95,1.0,USD,Valid,1/21/2016,0.0,153.2588,,149.7918,151.866,149.6337,,152.0833,Success,-1.3658,-1.5067,,1.0,5738849.0,US38141G1040
205,SplitAndProportionalCashDividend,5.1461,2.252,1.95,1.0,USD,Valid,1/22/2016,0.0,155.0663,,154.9379,149.7918,151.9747,,152.6859,Success,3.4355,1.4749,,1.0,5583770.0,US38141G1040
204,SplitAndProportionalCashDividend,-5.6696,-5.2153,1.95,1.0,USD,Valid,1/25/2016,0.0,154.612,,149.2683,154.9379,149.2683,,154.4836,Success,-3.6593,-3.376,,1.0,5051693.0,US38141G1040
203,SplitAndProportionalCashDividend,3.2892,3.0028,1.95,1.0,USD,Valid,1/26/2016,0.0,154.1872,,152.5575,149.2683,149.3374,,149.5547,Success,2.2035,2.0078,,1.0,5237676.0,US38141G1040
202,SplitAndProportionalCashDividend,-0.7211,0.1284,1.95,1.0,USD,Valid,1/27/2016,0.0,156.4887,,151.8364,152.5575,151.3129,,151.708,Success,-0.4727,0.0846,,1.0,5153084.0,US38141G1040
201,SplitAndProportionalCashDividend,3.2991,2.0249,1.95,1.0,USD,Valid,1/28/2016,0.0,156.1133,,155.1355,151.8364,150.661,,153.1106,Success,2.1728,1.3225,,1.0,4292910.0,US38141G1040
200,SplitAndProportionalCashDividend,4.4448,2.8842,1.95,1.0,USD,Valid,1/29/2016,0.0,159.61,,159.5803,155.1355,155.8467,,156.6961,Success,2.8651,1.8406,,1.0,4887892.0,US38141G1040
218,SplitAndProportionalCashDividend,-3.0522,1.3334,1.95,1.0,USD,Valid,1/4/2016,0.0,175.0188,,174.9694,178.0216,171.6308,,173.636,Success,-1.7145,0.7679,,1.0,3745474.0,US38141G1040
217,SplitAndProportionalCashDividend,-3.0126,-2.5879,1.95,1.0,USD,Valid,1/5/2016,0.0,175.325,,171.9568,174.9694,170.8011,,174.5447,Success,-1.7218,-1.4827,,1.0,4521610.0,US38141G1040
216,SplitAndProportionalCashDividend,-4.1979,-1.452,1.95,1.0,USD,Valid,1/6/2016,0.0,169.9122,,167.7589,171.9568,167.0279,,169.2109,Success,-2.4413,-0.8581,,1.0,5539404.0,US38141G1040
215,SplitAndProportionalCashDividend,-5.1561,-2.0249,1.95,1.0,USD,Valid,1/7/2016,0.0,167.423,,162.6028,167.7589,161.5953,,164.6277,Success,-3.0735,-1.23,,1.0,5687935.0,US38141G1040
214,SplitAndProportionalCashDividend,-0.6716,-2.7755,1.95,1.0,USD,Valid,1/8/2016,0.0,166.3563,,161.9312,162.6028,161.625,,164.7067,Success,-0.413,-1.6851,,1.0,4929788.0,US38141G1040
24,SplitAndProportionalCashDividend,1.21,0.52,0.0,1.0,USD,Valid,10/10/2016,0.0,171.75,,171.04,169.83,170.1,,170.52,Success,0.7125,0.3049,,1.0,2532001.0,US38141G1040
23,SplitAndProportionalCashDividend,-2.0,-0.8,0.0,1.0,USD,Valid,10/11/2016,0.0,170.87,,169.04,171.04,167.91,,169.84,Success,-1.1693,-0.471,,1.0,2679967.0,US38141G1040
