,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,-0.0294,-0.2058,1.08,1.0,USD,Valid,1/11/2016,0.0,51.786,,51.2471,51.2765,50.424,,51.4529,Success,-0.0573,-0.4,,1.0,36943756.0,US5949181045
212,SplitAndProportionalCashDividend,0.4703,0.0196,1.08,1.0,USD,Valid,1/12/2016,0.0,52.031,,51.7174,51.2471,51.0119,,51.6978,Success,0.9177,0.0379,,1.0,36095539.0,US5949181045
211,SplitAndProportionalCashDividend,-1.117,-2.1165,1.08,1.0,USD,Valid,1/13/2016,0.0,52.9815,,50.6004,51.7174,50.2709,,52.7169,Success,-2.1598,-4.0148,,1.0,66883571.0,US5949181045
210,SplitAndProportionalCashDividend,1.4404,1.0877,1.08,1.0,USD,Valid,1/14/2016,0.0,52.3409,,52.0408,50.6004,50.5318,,50.9531,Success,2.8466,2.1347,,1.0,52381918.0,US5949181045
209,SplitAndProportionalCashDividend,-2.0773,-0.3135,1.08,1.0,USD,Valid,1/15/2016,0.0,50.9237,,49.9635,52.0408,49.3265,,50.277,Success,-3.9917,-0.6235,,1.0,71820697.0,US5949181045
208,SplitAndProportionalCashDividend,-0.4214,-0.9015,1.08,1.0,USD,Valid,1/19/2016,0.0,50.6396,,49.5421,49.9635,49.0522,,50.4436,Success,-0.8434,-1.7871,,1.0,43564538.0,US5949181045
207,SplitAndProportionalCashDividend,0.2254,0.7937,1.08,1.0,USD,Valid,1/20/2016,0.0,50.3456,,49.7675,49.5421,48.1115,,48.9738,Success,0.455,1.6207,,1.0,63272993.0,US5949181045
206,SplitAndProportionalCashDividend,-0.3038,-0.5096,1.08,1.0,USD,Valid,1/21/2016,0.0,50.5416,,49.4637,49.7675,49.2874,,49.9733,Success,-0.6104,-1.0197,,1.0,40191157.0,US5949181045
205,SplitAndProportionalCashDividend,1.7736,0.8623,1.08,1.0,USD,Valid,1/22/2016,0.0,51.2765,,51.2373,49.4637,50.228,,50.375,Success,3.5857,1.7118,,1.0,37555789.0,US5949181045
204,SplitAndProportionalCashDividend,-0.4899,-0.1469,1.08,1.0,USD,Valid,1/25/2016,0.0,51.59,,50.7474,51.2373,50.6102,,50.8943,Success,-0.9561,-0.2886,,1.0,34707717.0,US5949181045
