,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,-0.0294,-0.4998,3.33,1.0,USD,Valid,1/11/2016,0.0,138.6229,,137.6722,137.7016,136.643,,138.172,Success,-0.0214,-0.3617,,1.0,2775527.0,US88579Y1010
212,SplitAndProportionalCashDividend,0.392,-0.4901,3.33,1.0,USD,Valid,1/12/2016,0.0,139.3286,,138.0642,137.6722,136.3686,,138.5543,Success,0.2847,-0.3537,,1.0,2363612.0,US88579Y1010
211,SplitAndProportionalCashDividend,-2.0975,-2.1269,3.33,1.0,USD,Valid,1/13/2016,0.0,139.3678,,135.9667,138.0642,135.7903,,138.0936,Success,-1.5192,-1.5402,,1.0,2598252.0,US88579Y1010
210,SplitAndProportionalCashDividend,2.4112,1.4114,3.33,1.0,USD,Valid,1/14/2016,0.0,139.6129,,138.3779,135.9667,136.1039,,136.9665,Success,1.7734,1.0305,,1.0,3720400.0,US88579Y1010
209,SplitAndProportionalCashDividend,-2.4406,0.3823,3.33,1.0,USD,Valid,1/15/2016,0.0,137.3193,,135.9373,138.3779,134.4867,,135.555,Success,-1.7637,0.282,,1.0,4683496.0,US88579Y1010
208,SplitAndProportionalCashDividend,-0.294,-1.676,3.33,1.0,USD,Valid,1/19/2016,0.0,138.0054,,135.6433,135.9373,134.6827,,137.3193,Success,-0.2163,-1.2205,,1.0,3399796.0,US88579Y1010
207,SplitAndProportionalCashDividend,-1.4017,0.0098,3.33,1.0,USD,Valid,1/20/2016,0.0,135.016,,134.2416,135.6433,131.9718,,134.2318,Success,-1.0334,0.0073,,1.0,4136338.0,US88579Y1010
206,SplitAndProportionalCashDividend,0.7842,0.7842,3.33,1.0,USD,Valid,1/21/2016,0.0,135.9177,,135.0258,134.2416,133.4477,,134.2416,Success,0.5842,0.5842,,1.0,3355469.0,US88579Y1010
205,SplitAndProportionalCashDividend,1.725,-0.6077,3.33,1.0,USD,Valid,1/22/2016,0.0,137.6428,,136.7508,135.0258,135.3425,,137.3585,Success,1.2775,-0.4424,,1.0,2979077.0,US88579Y1010
204,SplitAndProportionalCashDividend,-1.9113,-1.3624,3.33,1.0,USD,Valid,1/25/2016,0.0,136.6038,,134.8395,136.7508,134.8003,,136.2019,Success,-1.3977,-1.0003,,1.0,2805458.0,US88579Y1010
