,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,1.5412,1.3678,5.5,1.0,USD,Valid,1/11/2016,0.0,128.9079,,128.3395,126.7983,126.9235,,126.9717,Success,1.2155,1.0772,,1.0,4974436.0,US4592001014
212,SplitAndProportionalCashDividend,-0.3179,-0.7225,5.5,1.0,USD,Valid,1/12/2016,0.0,128.8693,,128.0216,128.3395,126.3166,,128.7441,Success,-0.2477,-0.5612,,1.0,5078678.0,US4592001014
211,SplitAndProportionalCashDividend,-1.6665,-2.2445,5.5,1.0,USD,Valid,1/13/2016,0.0,129.3509,,126.3551,128.0216,126.2877,,128.5996,Success,-1.3017,-1.7453,,1.0,4700115.0,US4592001014
210,SplitAndProportionalCashDividend,1.6762,0.9441,5.5,1.0,USD,Valid,1/14/2016,0.0,128.879,,128.0313,126.3551,126.4033,,127.0872,Success,1.3266,0.7429,,1.0,5709615.0,US4592001014
209,SplitAndProportionalCashDividend,-2.7743,0.0193,5.5,1.0,USD,Valid,1/15/2016,0.0,126.0758,,125.257,128.0313,124.1396,,125.2377,Success,-2.1669,0.0154,,1.0,9008460.0,US4592001014
208,SplitAndProportionalCashDividend,-1.8495,-1.9266,5.5,1.0,USD,Valid,1/19/2016,0.0,127.251,,123.4075,125.257,123.3593,,125.3341,Success,-1.4766,-1.5372,,1.0,9979587.0,US4592001014
207,SplitAndProportionalCashDividend,-6.0206,3.2752,5.5,1.0,USD,Valid,1/20/2016,0.0,119.4387,,117.3869,123.4075,113.6686,,114.1117,Success,-4.8786,2.8702,,1.0,16157796.0,US4592001014
206,SplitAndProportionalCashDividend,1.0114,1.5509,5.5,1.0,USD,Valid,1/21/2016,0.0,120.508,,118.3983,117.3869,116.1492,,116.8474,Success,0.8616,1.3273,,1.0,8851641.0,US4592001014
205,SplitAndProportionalCashDividend,-0.3949,-2.0903,5.5,1.0,USD,Valid,1/22/2016,0.0,120.1612,,118.0034,118.3983,117.3002,,120.0937,Success,-0.3335,-1.7406,,1.0,9238362.0,US4592001014
204,SplitAndProportionalCashDividend,-0.4046,-0.0193,5.5,1.0,USD,Valid,1/25/2016,0.0,119.6699,,117.5988,118.0034,117.175,,117.6181,Success,-0.3429,-0.0164,,1.0,5445956.0,US4592001014
203,SplitAndProportionalCashDividend,0.4913,0.3275,5.5,1.0,USD,Valid,1/26/2016,0.0,119.0726,,118.0901,117.5988,117.7529,,117.7626,Success,0.4178,0.2781,,1.0,4617777.0,US4592001014
