,AdjustmentMethodUsed,ChangeFromLastClose,ChangeFromOpen,CummulativeCashDividend,CummulativeStockDividendRatio,Currency,DataConfidence,Date,Delay,High,Identity,Last,LastClose,Low,Message,Open,Outcome,PercentChangeFromLastClose,PercentChangeFromOpen,Security,SplitRatio,Volume,ISIN
213,SplitAndProportionalCashDividend,-0.5778,-0.6561,2.35,1.0,USD,Valid,1/11/2016,0.0,96.5819,,95.5439,96.1217,94.0848,,96.2,Success,-0.6011,-0.682,,1.0,8151427.0,US4781601046
212,SplitAndProportionalCashDividend,0.6561,0.2448,2.35,1.0,USD,Valid,1/12/2016,0.0,96.5819,,96.2,95.5439,95.2208,,95.9552,Success,0.6867,0.2551,,1.0,6745013.0,US4781601046
211,SplitAndProportionalCashDividend,-1.1947,-1.4395,2.35,1.0,USD,Valid,1/13/2016,0.0,96.9246,,95.0053,96.2,94.8291,,96.4448,Success,-1.2419,-1.4926,,1.0,8290689.0,US4781601046
210,SplitAndProportionalCashDividend,1.8312,1.7528,2.35,1.0,USD,Valid,1/14/2016,0.0,97.4044,,96.8365,95.0053,94.9857,,95.0837,Success,1.9275,1.8434,,1.0,10164344.0,US4781601046
209,SplitAndProportionalCashDividend,-1.8508,0.6169,2.35,1.0,USD,Valid,1/15/2016,0.0,95.965,,94.9857,96.8365,94.2513,,94.3688,Success,-1.9113,0.6537,,1.0,12662181.0,US4781601046
208,SplitAndProportionalCashDividend,0.4897,-0.421,2.35,1.0,USD,Valid,1/19/2016,0.0,96.3665,,95.4754,94.9857,94.8878,,95.8964,Success,0.5156,-0.439,,1.0,12457849.0,US4781601046
207,SplitAndProportionalCashDividend,-1.7137,-0.3525,2.35,1.0,USD,Valid,1/20/2016,0.0,95.2599,,93.7617,95.4754,92.567,,94.1142,Success,-1.7949,-0.3745,,1.0,12685151.0,US4781601046
206,SplitAndProportionalCashDividend,0.1861,0.1665,2.35,1.0,USD,Valid,1/21/2016,0.0,94.6332,,93.9478,93.7617,92.3222,,93.7813,Success,0.1985,0.1775,,1.0,11266449.0,US4781601046
205,SplitAndProportionalCashDividend,0.7931,-0.2644,2.35,1.0,USD,Valid,1/22/2016,0.0,95.069,,94.7409,93.9478,93.9575,,95.0053,Success,0.8442,-0.2783,,1.0,8379951.0,US4781601046
204,SplitAndProportionalCashDividend,-0.3427,-0.3134,2.35,1.0,USD,Valid,1/25/2016,0.0,95.6614,,94.3982,94.7409,94.0457,,94.7116,Success,-0.3617,-0.3309,,1.0,9350181.0,US4781601046
203,SplitAndProportionalCashDividend,4.6807,3.8386,2.35,1.0,USD,Valid,1/26/2016,0.0,99.2356,,99.0789,94.3982,95.1179,,95.2403,Success,4.9585,4.0304,,1.0,17266649.0,US4781601046
202,SplitAndProportionalCashDividend,0.9597,1.6353,2.35,1.0,USD,Valid,1/27/2016,0.0,101.2333,,100.0386,99.0789,98.4033,,98.4033,Success,0.9686,1.6618,,1.0,19330465.0,US4781601046
201,SplitAndProportionalCashDividend,0.1077,-0.2252,2.35,1.0,USD,Valid,1/28/2016,0.0,100.9003,,100.1463,100.0386,99.735,,100.3715,Success,0.1077,-0.2244,,1.0,12789459.0,US4781601046
